Name,Email,Password,"Admission No","Student ID",Class,Section,Parent,"Parent Email",Phone
"Daniel Adeyemi",student.jss-1-general.1@belovedschool.test,password,BVS-JSS1-GEN-001,STD-0001,"JSS 1",General,"Parent1 Adeyemi",parent.jss-1-general.1@belovedschool.test,+2348112000001
"Esther Ojo",student.jss-1-general.2@belovedschool.test,password,BVS-JSS1-GEN-002,STD-0002,"JSS 1",General,"Parent2 Ojo",parent.jss-1-general.2@belovedschool.test,+2348112000002
"Joshua Balogun",student.jss-1-general.3@belovedschool.test,password,BVS-JSS1-GEN-003,STD-0003,"JSS 1",General,"Parent3 Balogun",parent.jss-1-general.3@belovedschool.test,+2348112000003
"Mercy Adebayo",student.jss-1-general.4@belovedschool.test,password,BVS-JSS1-GEN-004,STD-0004,"JSS 1",General,"Parent4 Adebayo",parent.jss-1-general.4@belovedschool.test,+2348112000004
"David Okonkwo",student.jss-1-general.5@belovedschool.test,password,BVS-JSS1-GEN-005,STD-0005,"JSS 1",General,"Parent5 Okonkwo",parent.jss-1-general.5@belovedschool.test,+2348112000005
"Grace Ojo",student.jss-2-general.1@belovedschool.test,password,BVS-JSS2-GEN-001,STD-0006,"JSS 2",General,"Parent1 Ojo",parent.jss-2-general.1@belovedschool.test,+2348112000006
"Samuel Balogun",student.jss-2-general.2@belovedschool.test,password,BVS-JSS2-GEN-002,STD-0007,"JSS 2",General,"Parent2 Balogun",parent.jss-2-general.2@belovedschool.test,+2348112000007
"Deborah Adebayo",student.jss-2-general.3@belovedschool.test,password,BVS-JSS2-GEN-003,STD-0008,"JSS 2",General,"Parent3 Adebayo",parent.jss-2-general.3@belovedschool.test,+2348112000008
"Elijah Okonkwo",student.jss-2-general.4@belovedschool.test,password,BVS-JSS2-GEN-004,STD-0009,"JSS 2",General,"Parent4 Okonkwo",parent.jss-2-general.4@belovedschool.test,+2348112000009
"Ruth Nwosu",student.jss-2-general.5@belovedschool.test,password,BVS-JSS2-GEN-005,STD-0010,"JSS 2",General,"Parent5 Nwosu",parent.jss-2-general.5@belovedschool.test,+2348112000010
"Timothy Balogun",student.jss-3-general.1@belovedschool.test,password,BVS-JSS3-GEN-001,STD-0011,"JSS 3",General,"Parent1 Balogun",parent.jss-3-general.1@belovedschool.test,+2348112000011
"Joy Adebayo",student.jss-3-general.2@belovedschool.test,password,BVS-JSS3-GEN-002,STD-0012,"JSS 3",General,"Parent2 Adebayo",parent.jss-3-general.2@belovedschool.test,+2348112000012
"Nathaniel Okonkwo",student.jss-3-general.3@belovedschool.test,password,BVS-JSS3-GEN-003,STD-0013,"JSS 3",General,"Parent3 Okonkwo",parent.jss-3-general.3@belovedschool.test,+2348112000013
"Favour Nwosu",student.jss-3-general.4@belovedschool.test,password,BVS-JSS3-GEN-004,STD-0014,"JSS 3",General,"Parent4 Nwosu",parent.jss-3-general.4@belovedschool.test,+2348112000014
"Michael Yusuf",student.jss-3-general.5@belovedschool.test,password,BVS-JSS3-GEN-005,STD-0015,"JSS 3",General,"Parent5 Yusuf",parent.jss-3-general.5@belovedschool.test,+2348112000015
"Sarah Nwosu",student.ss-1-art.1@belovedschool.test,password,BVS-SS1-ART-001,STD-0026,"SS 1",Art,"Parent1 Nwosu",parent.ss-1-art.1@belovedschool.test,+2348112000026
"Paul Yusuf",student.ss-1-art.2@belovedschool.test,password,BVS-SS1-ART-002,STD-0027,"SS 1",Art,"Parent2 Yusuf",parent.ss-1-art.2@belovedschool.test,+2348112000027
"Hannah Afolabi",student.ss-1-art.3@belovedschool.test,password,BVS-SS1-ART-003,STD-0028,"SS 1",Art,"Parent3 Afolabi",parent.ss-1-art.3@belovedschool.test,+2348112000028
"John Ogunleye",student.ss-1-art.4@belovedschool.test,password,BVS-SS1-ART-004,STD-0029,"SS 1",Art,"Parent4 Ogunleye",parent.ss-1-art.4@belovedschool.test,+2348112000029
"Patience Eze",student.ss-1-art.5@belovedschool.test,password,BVS-SS1-ART-005,STD-0030,"SS 1",Art,"Parent5 Eze",parent.ss-1-art.5@belovedschool.test,+2348112000030
"Faith Okonkwo",student.ss-1-commercial.1@belovedschool.test,password,BVS-SS1-COM-001,STD-0021,"SS 1",Commercial,"Parent1 Okonkwo",parent.ss-1-commercial.1@belovedschool.test,+2348112000021
"Victor Nwosu",student.ss-1-commercial.2@belovedschool.test,password,BVS-SS1-COM-002,STD-0022,"SS 1",Commercial,"Parent2 Nwosu",parent.ss-1-commercial.2@belovedschool.test,+2348112000022
"Lydia Yusuf",student.ss-1-commercial.3@belovedschool.test,password,BVS-SS1-COM-003,STD-0023,"SS 1",Commercial,"Parent3 Yusuf",parent.ss-1-commercial.3@belovedschool.test,+2348112000023
"Naomi Afolabi",student.ss-1-commercial.4@belovedschool.test,password,BVS-SS1-COM-004,STD-0024,"SS 1",Commercial,"Parent4 Afolabi",parent.ss-1-commercial.4@belovedschool.test,+2348112000024
"Joseph Ogunleye",student.ss-1-commercial.5@belovedschool.test,password,BVS-SS1-COM-005,STD-0025,"SS 1",Commercial,"Parent5 Ogunleye",parent.ss-1-commercial.5@belovedschool.test,+2348112000025
"Peace Adebayo",student.ss-1-science.1@belovedschool.test,password,BVS-SS1-SCI-001,STD-0016,"SS 1",Science,"Parent1 Adebayo",parent.ss-1-science.1@belovedschool.test,+2348112000016
"Caleb Okonkwo",student.ss-1-science.2@belovedschool.test,password,BVS-SS1-SCI-002,STD-0017,"SS 1",Science,"Parent2 Okonkwo",parent.ss-1-science.2@belovedschool.test,+2348112000017
"Princess Nwosu",student.ss-1-science.3@belovedschool.test,password,BVS-SS1-SCI-003,STD-0018,"SS 1",Science,"Parent3 Nwosu",parent.ss-1-science.3@belovedschool.test,+2348112000018
"Emmanuel Yusuf",student.ss-1-science.4@belovedschool.test,password,BVS-SS1-SCI-004,STD-0019,"SS 1",Science,"Parent4 Yusuf",parent.ss-1-science.4@belovedschool.test,+2348112000019
"Testimony Afolabi",student.ss-1-science.5@belovedschool.test,password,BVS-SS1-SCI-005,STD-0020,"SS 1",Science,"Parent5 Afolabi",parent.ss-1-science.5@belovedschool.test,+2348112000020
"Timothy Ogunleye",student.ss-2-art.1@belovedschool.test,password,BVS-SS2-ART-001,STD-0041,"SS 2",Art,"Parent1 Ogunleye",parent.ss-2-art.1@belovedschool.test,+2348112000041
"Joy Eze",student.ss-2-art.2@belovedschool.test,password,BVS-SS2-ART-002,STD-0042,"SS 2",Art,"Parent2 Eze",parent.ss-2-art.2@belovedschool.test,+2348112000042
"Nathaniel Ajayi",student.ss-2-art.3@belovedschool.test,password,BVS-SS2-ART-003,STD-0043,"SS 2",Art,"Parent3 Ajayi",parent.ss-2-art.3@belovedschool.test,+2348112000043
"Favour Ibrahim",student.ss-2-art.4@belovedschool.test,password,BVS-SS2-ART-004,STD-0044,"SS 2",Art,"Parent4 Ibrahim",parent.ss-2-art.4@belovedschool.test,+2348112000044
"Michael Olawale",student.ss-2-art.5@belovedschool.test,password,BVS-SS2-ART-005,STD-0045,"SS 2",Art,"Parent5 Olawale",parent.ss-2-art.5@belovedschool.test,+2348112000045
"Grace Afolabi",student.ss-2-commercial.1@belovedschool.test,password,BVS-SS2-COM-001,STD-0036,"SS 2",Commercial,"Parent1 Afolabi",parent.ss-2-commercial.1@belovedschool.test,+2348112000036
"Samuel Ogunleye",student.ss-2-commercial.2@belovedschool.test,password,BVS-SS2-COM-002,STD-0037,"SS 2",Commercial,"Parent2 Ogunleye",parent.ss-2-commercial.2@belovedschool.test,+2348112000037
"Deborah Eze",student.ss-2-commercial.3@belovedschool.test,password,BVS-SS2-COM-003,STD-0038,"SS 2",Commercial,"Parent3 Eze",parent.ss-2-commercial.3@belovedschool.test,+2348112000038
"Elijah Ajayi",student.ss-2-commercial.4@belovedschool.test,password,BVS-SS2-COM-004,STD-0039,"SS 2",Commercial,"Parent4 Ajayi",parent.ss-2-commercial.4@belovedschool.test,+2348112000039
"Ruth Ibrahim",student.ss-2-commercial.5@belovedschool.test,password,BVS-SS2-COM-005,STD-0040,"SS 2",Commercial,"Parent5 Ibrahim",parent.ss-2-commercial.5@belovedschool.test,+2348112000040
